to,xo,yo,zo
0,6.5875,2.27233333333333,6.19666666666667
7,6.863,2.571,6.1055
14,7.11025,2.882,6.0208
21,7.542,3.501,5.8482
28,7.991,4.1792,5.6286
35,8.38675,4.8998,5.3984
42,8.65875,5.6246,5.155
49,8.7665,6.2908,4.8562
56,8.65425,6.8708,4.5472
63,8.32025,7.18475,4.4015
70,8.11366666666667,7.421,4.238
